inning,inning_topbot,outs_when_up,1b,2b,3b,current_re24,situation_occurrences,eligible_games,higher_re_occurs_count,higher_re_occurs_pct
2,Bot,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
2,Bot,0,True,False,False,0.8878149539389397,1826,7289,7063,0.9689943750857456
2,Bot,0,False,True,False,1.109643815436418,413,7289,6178,0.8475785430100151
2,Bot,0,False,False,True,1.3858590733590734,47,7289,5355,0.7346686788311154
2,Bot,0,True,True,False,1.47952434803468,401,7289,4125,0.565921251200439
2,Bot,0,True,False,True,1.8029265255292648,142,7289,2018,0.27685553573878446
2,Bot,0,False,True,True,1.918237170194259,117,7289,1221,0.16751269035532995
2,Bot,0,True,True,True,2.268160644592723,93,7289,0,0.0
2,Bot,1,False,False,False,0.2639268201849667,5241,7289,7289,1.0
2,Bot,1,True,False,False,0.5240708686902802,2169,7289,7281,0.9989024557552476
2,Bot,1,False,True,False,0.6679592825981581,657,7289,7271,0.9975305254493072
2,Bot,1,False,False,True,0.9123045547246772,232,7289,6995,0.9596652490053506
2,Bot,1,True,True,False,0.9302515931635259,663,7289,6610,0.9068459322266429
2,Bot,1,True,False,True,1.1652308995904532,315,7289,5736,0.7869392234874468
2,Bot,1,False,True,True,1.3486698911729142,228,7289,5489,0.7530525449307175
2,Bot,1,True,True,True,1.5565524426950683,197,7289,2940,0.4033475099464947
2,Bot,2,False,False,False,0.1001532004737628,4245,7289,7289,1.0
2,Bot,2,True,False,False,0.2213896929490464,2261,7289,7289,1.0
2,Bot,2,False,True,False,0.3072789447972643,878,7289,7289,1.0
2,Bot,2,False,False,True,0.3336989761999734,407,7289,7289,1.0
2,Bot,2,True,True,False,0.4312991506763133,860,7289,7289,1.0
2,Bot,2,True,False,True,0.4695498381553041,433,7289,7289,1.0
2,Bot,2,False,True,True,0.5347255949490044,231,7289,7281,0.9989024557552476
2,Bot,2,True,True,True,0.7707733891359316,273,7289,7267,0.996981753326931
3,Top,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
3,Top,0,True,False,False,0.8878149539389397,1688,7289,6999,0.9602140211277267
3,Top,0,False,True,False,1.109643815436418,393,7289,6045,0.829331869941007
3,Top,0,False,False,True,1.3858590733590734,62,7289,5197,0.7129921799972562
3,Top,0,True,True,False,1.47952434803468,373,7289,3958,0.5430100150912334
3,Top,0,True,False,True,1.8029265255292648,131,7289,1906,0.2614899163122513
3,Top,0,False,True,True,1.918237170194259,81,7289,1155,0.15845795033612292
3,Top,0,True,True,True,2.268160644592723,70,7289,0,0.0
3,Top,1,False,False,False,0.2639268201849667,5421,7289,7289,1.0
3,Top,1,True,False,False,0.5240708686902802,2127,7289,7279,0.9986280696940596
3,Top,1,False,True,False,0.6679592825981581,683,7289,7265,0.9967073672657429
3,Top,1,False,False,True,0.9123045547246772,231,7289,6927,0.9503361229249554
3,Top,1,True,True,False,0.9302515931635259,693,7289,6508,0.8928522431060502
3,Top,1,True,False,True,1.1652308995904532,276,7289,5589,0.7667718479901221
3,Top,1,False,True,True,1.3486698911729142,173,7289,5328,0.7309644670050761
3,Top,1,True,True,True,1.5565524426950683,173,7289,2791,0.3829057483879819
3,Top,2,False,False,False,0.1001532004737628,4378,7289,7289,1.0
3,Top,2,True,False,False,0.2213896929490464,2223,7289,7289,1.0
3,Top,2,False,True,False,0.3072789447972643,871,7289,7289,1.0
3,Top,2,False,False,True,0.3336989761999734,402,7289,7289,1.0
3,Top,2,True,True,False,0.4312991506763133,836,7289,7289,1.0
3,Top,2,True,False,True,0.4695498381553041,414,7289,7289,1.0
3,Top,2,False,True,True,0.5347255949490044,215,7289,7276,0.9982164906022774
3,Top,2,True,True,True,0.7707733891359316,246,7289,7260,0.9960214021127727
3,Bot,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
3,Bot,0,True,False,False,0.8878149539389397,1751,7289,6924,0.9499245438331733
3,Bot,0,False,True,False,1.109643815436418,430,7289,5862,0.8042255453422966
3,Bot,0,False,False,True,1.3858590733590734,49,7289,4991,0.6847304156948827
3,Bot,0,True,True,False,1.47952434803468,416,7289,3776,0.5180408835231171
3,Bot,0,True,False,True,1.8029265255292648,149,7289,1768,0.24255727809027303
3,Bot,0,False,True,True,1.918237170194259,93,7289,1064,0.14597338455206477
3,Bot,0,True,True,True,2.268160644592723,106,7289,0,0.0
3,Bot,1,False,False,False,0.2639268201849667,5366,7289,7289,1.0
3,Bot,1,True,False,False,0.5240708686902802,2186,7289,7270,0.9973933324187131
3,Bot,1,False,True,False,0.6679592825981581,688,7289,7250,0.9946494718068322
3,Bot,1,False,False,True,0.9123045547246772,234,7289,6833,0.937439978049115
3,Bot,1,True,True,False,0.9302515931635259,724,7289,6363,0.8729592536699136
3,Bot,1,True,False,True,1.1652308995904532,316,7289,5386,0.7389216627795308
3,Bot,1,False,True,True,1.3486698911729142,190,7289,5125,0.7031142817944849
3,Bot,1,True,True,True,1.5565524426950683,167,7289,2606,0.3575250377280834
3,Bot,2,False,False,False,0.1001532004737628,4285,7289,7289,1.0
3,Bot,2,True,False,False,0.2213896929490464,2249,7289,7289,1.0
3,Bot,2,False,True,False,0.3072789447972643,908,7289,7289,1.0
3,Bot,2,False,False,True,0.3336989761999734,394,7289,7289,1.0
3,Bot,2,True,True,False,0.4312991506763133,863,7289,7289,1.0
3,Bot,2,True,False,True,0.4695498381553041,459,7289,7289,1.0
3,Bot,2,False,True,True,0.5347255949490044,213,7289,7267,0.996981753326931
3,Bot,2,True,True,True,0.7707733891359316,231,7289,7243,0.9936891205926739
4,Top,0,False,False,False,0.49432005064898776,7289,7289,7288,0.999862806969406
4,Top,0,True,False,False,0.8878149539389397,1707,7289,6828,0.9367540128961449
4,Top,0,False,True,False,1.109643815436418,415,7289,5679,0.7791192207435862
4,Top,0,False,False,True,1.3858590733590734,47,7289,4775,0.6550967210865688
4,Top,0,True,True,False,1.47952434803468,413,7289,3587,0.49211140074084236
4,Top,0,True,False,True,1.8029265255292648,139,7289,1637,0.224584991082453
4,Top,0,False,True,True,1.918237170194259,93,7289,990,0.13582110028810537
4,Top,0,True,True,True,2.268160644592723,85,7289,0,0.0
4,Top,1,False,False,False,0.2639268201849667,5367,7289,7289,1.0
4,Top,1,True,False,False,0.5240708686902802,2131,7289,7256,0.9954726299903965
4,Top,1,False,True,False,0.6679592825981581,696,7289,7229,0.9917684181643572
4,Top,1,False,False,True,0.9123045547246772,210,7289,6712,0.9208396213472355
4,Top,1,True,True,False,0.9302515931635259,674,7289,6208,0.8516943339278364
4,Top,1,True,False,True,1.1652308995904532,340,7289,5193,0.7124434078748799
4,Top,1,False,True,True,1.3486698911729142,210,7289,4916,0.6744409384003293
4,Top,1,True,True,True,1.5565524426950683,184,7289,2429,0.3332418713129373
4,Top,2,False,False,False,0.1001532004737628,4303,7289,7289,1.0
4,Top,2,True,False,False,0.2213896929490464,2228,7289,7289,1.0
4,Top,2,False,True,False,0.3072789447972643,913,7289,7289,1.0
4,Top,2,False,False,True,0.3336989761999734,366,7289,7289,1.0
4,Top,2,True,True,False,0.4312991506763133,775,7289,7289,1.0
4,Top,2,True,False,True,0.4695498381553041,464,7289,7289,1.0
4,Top,2,False,True,True,0.5347255949490044,237,7289,7250,0.9946494718068322
4,Top,2,True,True,True,0.7707733891359316,222,7289,7219,0.9903964878584168
4,Bot,0,False,False,False,0.49432005064898776,7289,7289,7286,0.9995884209082179
4,Bot,0,True,False,False,0.8878149539389397,1751,7289,6700,0.919193304980107
4,Bot,0,False,True,False,1.109643815436418,430,7289,5427,0.7445465770338867
4,Bot,0,False,False,True,1.3858590733590734,57,7289,4521,0.6202496913156812
4,Bot,0,True,True,False,1.47952434803468,383,7289,3353,0.4600082315818356
4,Bot,0,True,False,True,1.8029265255292648,153,7289,1505,0.20647551104403897
4,Bot,0,False,True,True,1.918237170194259,92,7289,916,0.12566881602414598
4,Bot,0,True,True,True,2.268160644592723,89,7289,0,0.0
4,Bot,1,False,False,False,0.2639268201849667,5313,7289,7289,1.0
4,Bot,1,True,False,False,0.5240708686902802,2186,7289,7227,0.9914940321031691
4,Bot,1,False,True,False,0.6679592825981581,678,7289,7184,0.9855947317876251
4,Bot,1,False,False,True,0.9123045547246772,240,7289,6569,0.901221017972287
4,Bot,1,True,True,False,0.9302515931635259,688,7289,6002,0.8234325696254631
4,Bot,1,True,False,True,1.1652308995904532,325,7289,4942,0.6780079571957744
4,Bot,1,False,True,True,1.3486698911729142,218,7289,4651,0.6380847852929071
4,Bot,1,True,True,True,1.5565524426950683,203,7289,2219,0.3044313348881877
4,Bot,2,False,False,False,0.1001532004737628,4223,7289,7289,1.0
4,Bot,2,True,False,False,0.2213896929490464,2221,7289,7289,1.0
4,Bot,2,False,True,False,0.3072789447972643,895,7289,7289,1.0
4,Bot,2,False,False,True,0.3336989761999734,399,7289,7289,1.0
4,Bot,2,True,True,False,0.4312991506763133,834,7289,7289,1.0
4,Bot,2,True,False,True,0.4695498381553041,437,7289,7289,1.0
4,Bot,2,False,True,True,0.5347255949490044,226,7289,7217,0.9901221017972287
4,Bot,2,True,True,True,0.7707733891359316,257,7289,7171,0.9838112223899026
5,Top,0,False,False,False,0.49432005064898776,7289,7289,7279,0.9986280696940596
5,Top,0,True,False,False,0.8878149539389397,1746,7289,6524,0.8950473315955549
5,Top,0,False,True,False,1.109643815436418,394,7289,5137,0.7047605981616134
5,Top,0,False,False,True,1.3858590733590734,42,7289,4247,0.5826588009329126
5,Top,0,True,True,False,1.47952434803468,382,7289,3109,0.4265331321168885
5,Top,0,True,False,True,1.8029265255292648,145,7289,1370,0.18795445191384277
5,Top,0,False,True,True,1.918237170194259,94,7289,836,0.1146933735766223
5,Top,0,True,True,True,2.268160644592723,91,7289,0,0.0
5,Top,1,False,False,False,0.2639268201849667,5367,7289,7289,1.0
5,Top,1,True,False,False,0.5240708686902802,2199,7289,7190,0.9864178899711895
5,Top,1,False,True,False,0.6679592825981581,701,7289,7118,0.9765399917684182
5,Top,1,False,False,True,0.9123045547246772,215,7289,6363,0.8729592536699136
5,Top,1,True,True,False,0.9302515931635259,752,7289,5748,0.7885855398545754
5,Top,1,True,False,True,1.1652308995904532,306,7289,4667,0.6402798737824118
5,Top,1,False,True,True,1.3486698911729142,217,7289,4387,0.601865825216079
5,Top,1,True,True,True,1.5565524426950683,197,7289,2034,0.2790506242282892
5,Top,2,False,False,False,0.1001532004737628,4224,7289,7289,1.0
5,Top,2,True,False,False,0.2213896929490464,2226,7289,7289,1.0
5,Top,2,False,True,False,0.3072789447972643,883,7289,7289,1.0
5,Top,2,False,False,True,0.3336989761999734,385,7289,7289,1.0
5,Top,2,True,True,False,0.4312991506763133,864,7289,7289,1.0
5,Top,2,True,False,True,0.4695498381553041,464,7289,7289,1.0
5,Top,2,False,True,True,0.5347255949490044,272,7289,7169,0.9835368363287145
5,Top,2,True,True,True,0.7707733891359316,283,7289,7100,0.9740705172177253
5,Bot,0,False,False,False,0.49432005064898776,7289,7289,7267,0.996981753326931
5,Bot,0,True,False,False,0.8878149539389397,1778,7287,6303,0.8649650061753809
5,Bot,0,False,True,False,1.109643815436418,429,7287,4813,0.6604912858515164
5,Bot,0,False,False,True,1.3858590733590734,46,7287,3926,0.5387676684506656
5,Bot,0,True,True,False,1.47952434803468,417,7287,2840,0.38973514477837246
5,Bot,0,True,False,True,1.8029265255292648,157,7287,1213,0.166460820639495
5,Bot,0,False,True,True,1.918237170194259,92,7287,748,0.10264855221627556
5,Bot,0,True,True,True,2.268160644592723,99,7287,0,0.0
5,Bot,1,False,False,False,0.2639268201849667,5278,7289,7288,0.999862806969406
5,Bot,1,True,False,False,0.5240708686902802,2156,7287,7113,0.9761218608480856
5,Bot,1,False,True,False,0.6679592825981581,736,7287,7023,0.9637710992177851
5,Bot,1,False,False,True,0.9123045547246772,238,7288,6108,0.8380900109769485
5,Bot,1,True,True,False,0.9302515931635259,718,7287,5449,0.7477700013723069
5,Bot,1,True,False,True,1.1652308995904532,320,7287,4315,0.5921504048305201
5,Bot,1,False,True,True,1.3486698911729142,232,7287,4057,0.5567448881569919
5,Bot,1,True,True,True,1.5565524426950683,221,7287,1795,0.24632907918210512
5,Bot,2,False,False,False,0.1001532004737628,4216,7288,7288,1.0
5,Bot,2,True,False,False,0.2213896929490464,2176,7288,7287,0.9998627881448957
5,Bot,2,False,True,False,0.3072789447972643,940,7287,7287,1.0
5,Bot,2,False,False,True,0.3336989761999734,420,7288,7287,0.9998627881448957
5,Bot,2,True,True,False,0.4312991506763133,838,7287,7287,1.0
5,Bot,2,True,False,True,0.4695498381553041,435,7287,7287,1.0
5,Bot,2,False,True,True,0.5347255949490044,206,7287,7086,0.9724166323589954
5,Bot,2,True,True,True,0.7707733891359316,286,7287,6998,0.9603403320982572
6,Top,0,False,False,False,0.49432005064898776,7287,7287,7239,0.9934129271305063
6,Top,0,True,False,False,0.8878149539389397,1796,7287,6012,0.8250308769040757
6,Top,0,False,True,False,1.109643815436418,409,7286,4449,0.6106231128191051
6,Top,0,False,False,True,1.3858590733590734,53,7286,3582,0.49162777930277246
6,Top,0,True,True,False,1.47952434803468,439,7287,2558,0.3510360916700974
6,Top,0,True,False,True,1.8029265255292648,141,7286,1069,0.14671973648092232
6,Top,0,False,True,True,1.918237170194259,84,7286,660,0.09058468295360966
6,Top,0,True,True,True,2.268160644592723,101,7287,0,0.0
6,Top,1,False,False,False,0.2639268201849667,5272,7286,7286,1.0
6,Top,1,True,False,False,0.5240708686902802,2183,7286,7002,0.9610211364260225
6,Top,1,False,True,False,0.6679592825981581,674,7286,6880,0.9442766950315674
6,Top,1,False,False,True,0.9123045547246772,221,7286,5766,0.7913807301674444
6,Top,1,True,True,False,0.9302515931635259,715,7286,5037,0.6913258303595937
