inning,inning_topbot,outs_when_up,1b,2b,3b,situations_after_count,higher_re_after_count,higher_re_after_pct
7,Top,2,True,True,True,7127,1188,0.16669005191525185
7,Bot,0,False,False,False,139074,40239,0.2893351740799862
7,Bot,0,True,False,False,33257,4561,0.1371440598971645
7,Bot,0,False,True,False,7191,606,0.08427200667501043
7,Bot,0,False,False,True,864,42,0.04861111111111111
7,Bot,0,True,True,False,7763,407,0.052428184980033495
7,Bot,0,True,False,True,2513,41,0.01631516116195782
7,Bot,0,False,True,True,1623,27,0.0166358595194085
7,Bot,0,True,True,True,1960,0,0.0
7,Bot,1,False,False,False,93668,54904,0.5861553572191143
7,Bot,1,True,False,False,38137,8347,0.21886881506148884
7,Bot,1,False,True,False,12210,2040,0.16707616707616707
7,Bot,1,False,False,True,3143,361,0.11485841552656698
7,Bot,1,True,True,False,13720,1137,0.08287172011661807
7,Bot,1,True,False,True,5728,291,0.050803072625698324
7,Bot,1,False,True,True,3381,182,0.053830227743271224
7,Bot,1,True,True,True,5240,60,0.011450381679389313
7,Bot,2,False,False,False,67259,57918,0.8611189580576577
7,Bot,2,True,False,False,35402,27997,0.7908310264956782
7,Bot,2,False,True,False,15128,8712,0.5758857747223691
7,Bot,2,False,False,True,5194,2928,0.5637273777435502
7,Bot,2,True,True,False,15749,8518,0.5408597371261668
7,Bot,2,True,False,True,7546,3833,0.5079512324410284
7,Bot,2,False,True,True,3721,766,0.20585864015049718
7,Bot,2,True,True,True,6007,905,0.1506575661727984
8,Top,0,False,False,False,106262,31161,0.2932468803523367
8,Top,0,True,False,False,25479,3800,0.14914243102162567
8,Top,0,False,True,False,5786,502,0.0867611475976495
8,Top,0,False,False,True,679,31,0.045655375552282766
8,Top,0,True,True,False,6555,417,0.06361556064073226
8,Top,0,True,False,True,2118,43,0.020302171860245515
8,Top,0,False,True,True,1269,16,0.01260835303388495
8,Top,0,True,True,True,2261,0,0.0
8,Top,1,False,False,False,69559,40103,0.5765321525611351
8,Top,1,True,False,False,28076,6083,0.2166619176520872
8,Top,1,False,True,False,8861,1537,0.17345672046044464
8,Top,1,False,False,True,2523,255,0.10107015457788347
8,Top,1,True,True,False,9724,751,0.0772315919374743
8,Top,1,True,False,True,4533,249,0.05493050959629384
8,Top,1,False,True,True,3138,152,0.04843849585723391
8,Top,1,True,True,True,3774,38,0.010068892421833599
8,Top,2,False,False,False,48963,42257,0.8630394379429365
8,Top,2,True,False,False,26018,20574,0.7907602429087555
8,Top,2,False,True,False,10856,6342,0.5841930729550479
8,Top,2,False,False,True,4396,2527,0.5748407643312102
8,Top,2,True,True,False,10812,5900,0.5456899741028487
8,Top,2,True,False,True,5951,3068,0.5155436061166191
8,Top,2,False,True,True,2485,480,0.193158953722334
8,Top,2,True,True,True,4296,668,0.15549348230912477
8,Bot,0,False,False,False,74162,22515,0.30359213613440844
8,Bot,0,True,False,False,17141,2926,0.1707018260311534
8,Bot,0,False,True,False,3262,384,0.11771919068056406
8,Bot,0,False,False,True,310,25,0.08064516129032258
8,Bot,0,True,True,False,4167,349,0.08375329973602112
8,Bot,0,True,False,True,1275,34,0.02666666666666667
8,Bot,0,False,True,True,690,17,0.02463768115942029
8,Bot,0,True,True,True,1056,0,0.0
8,Bot,1,False,False,False,47164,26656,0.5651768297854296
8,Bot,1,True,False,False,18841,4346,0.2306671620402314
8,Bot,1,False,True,False,6026,1107,0.18370394955194158
8,Bot,1,False,False,True,1358,158,0.11634756995581738
8,Bot,1,True,True,False,6828,640,0.09373169302870533
8,Bot,1,True,False,True,2614,141,0.05394032134659526
8,Bot,1,False,True,True,1794,112,0.06243032329988852
8,Bot,1,True,True,True,2360,12,0.005084745762711864
8,Bot,2,False,False,False,29936,25779,0.861137092463923
8,Bot,2,True,False,False,16024,12677,0.7911258112830754
8,Bot,2,False,True,False,6228,3623,0.581727681438664
8,Bot,2,False,False,True,2279,1292,0.5669153137340939
8,Bot,2,True,True,False,7296,3986,0.5463267543859649
8,Bot,2,True,False,True,3448,1746,0.5063805104408353
8,Bot,2,False,True,True,1613,331,0.20520768753874769
8,Bot,2,True,True,True,2530,370,0.14624505928853754
9,Top,0,False,False,False,41782,13514,0.3234407160978412
9,Top,0,True,False,False,10236,2267,0.22147323173114497
9,Top,0,False,True,False,2557,314,0.1228001564333203
9,Top,0,False,False,True,285,27,0.09473684210526316
9,Top,0,True,True,False,2763,295,0.1067680057908071
9,Top,0,True,False,True,904,44,0.048672566371681415
9,Top,0,False,True,True,564,18,0.031914893617021274
9,Top,0,True,True,True,704,0,0.0
9,Top,1,False,False,False,22274,11420,0.5127053964263266
9,Top,1,True,False,False,9243,2387,0.25824948609758736
9,Top,1,False,True,False,3186,571,0.17922159447583177
9,Top,1,False,False,True,1088,118,0.10845588235294118
9,Top,1,True,True,False,3816,488,0.1278825995807128
9,Top,1,True,False,True,1473,95,0.06449422946367957
9,Top,1,False,True,True,1156,70,0.06055363321799308
9,Top,1,True,True,True,1563,4,0.0025591810620601407
9,Top,2,False,False,False,11281,9786,0.8674762875631593
9,Top,2,True,False,False,6287,4967,0.7900429457610944
9,Top,2,False,True,False,2782,1568,0.5636232925952552
9,Top,2,False,False,True,1104,605,0.5480072463768116
9,Top,2,True,True,False,2870,1575,0.5487804878048781
9,Top,2,True,False,True,1566,724,0.4623243933588761
9,Top,2,False,True,True,777,174,0.22393822393822393
9,Top,2,True,True,True,1236,152,0.12297734627831715
9,Bot,0,False,False,False,12648,4502,0.35594560404807085
9,Bot,0,True,False,False,2707,895,0.33062430735131143
9,Bot,0,False,True,False,512,96,0.1875
9,Bot,0,False,False,True,75,7,0.09333333333333334
9,Bot,0,True,True,False,600,154,0.25666666666666665
9,Bot,0,True,False,True,120,9,0.075
9,Bot,0,False,True,True,111,5,0.04504504504504504
9,Bot,0,True,True,True,131,0,0.0
9,Bot,1,False,False,False,5160,1909,0.36996124031007754
9,Bot,1,True,False,False,1872,624,0.3333333333333333
9,Bot,1,False,True,False,537,113,0.21042830540037244
9,Bot,1,False,False,True,162,26,0.16049382716049382
9,Bot,1,True,True,False,601,137,0.22795341098169716
9,Bot,1,True,False,True,199,41,0.20603015075376885
9,Bot,1,False,True,True,189,32,0.1693121693121693
9,Bot,1,True,True,True,196,0,0.0
9,Bot,2,False,False,False,933,872,0.9346195069667739
9,Bot,2,True,False,False,462,409,0.8852813852813853
9,Bot,2,False,True,False,166,106,0.6385542168674698
9,Bot,2,False,False,True,74,35,0.47297297297297297
9,Bot,2,True,True,False,173,124,0.7167630057803468
9,Bot,2,True,False,True,78,38,0.48717948717948717
9,Bot,2,False,True,True,49,25,0.5102040816326531
9,Bot,2,True,True,True,48,0,0.0
