1b,2b,3b,balls,strikes,outs_when_up,runs_after_count
False,False,False,0,0,0,0.5004810883785457
False,False,False,0,0,1,0.26749355703181954
False,False,False,0,0,2,0.1018149452420572
False,False,False,0,1,0,0.464667543307987
False,False,False,0,1,1,0.23733118084813168
False,False,False,0,1,2,0.08555949468217906
False,False,False,0,2,0,0.41155798516204606
False,False,False,0,2,1,0.20608899297423888
False,False,False,0,2,2,0.06104678978088221
False,False,False,1,0,0,0.5330094139082903
False,False,False,1,0,1,0.2956073202183993
False,False,False,1,0,2,0.11755331773641203
False,False,False,1,1,0,0.4869749539800301
False,False,False,1,1,1,0.25738503705207594
False,False,False,1,1,2,0.09999684950064586
False,False,False,1,2,0,0.42651177653715294
False,False,False,1,2,1,0.2145089228067457
False,False,False,1,2,2,0.07221197709405028
False,False,False,2,0,0,0.59261565282361
False,False,False,2,0,1,0.3410923601296866
False,False,False,2,0,2,0.1385002516356316
False,False,False,2,1,0,0.5392462028876804
False,False,False,2,1,1,0.3014698579799384
False,False,False,2,1,2,0.12449190074622338
False,False,False,2,2,0,0.4641476933948723
False,False,False,2,2,1,0.24400644083969467
False,False,False,2,2,2,0.08728207010460635
False,False,False,3,0,0,0.7284518828451882
False,False,False,3,0,1,0.42580461407006553
False,False,False,3,0,2,0.18218623481781376
False,False,False,3,1,0,0.6605409480727547
False,False,False,3,1,1,0.3776555861034741
False,False,False,3,1,2,0.16144363582355561
False,False,False,3,2,0,0.570869284275343
False,False,False,3,2,1,0.3162008409596834
False,False,False,3,2,2,0.13252003348881713
False,False,True,0,0,0,1.3824884792626728
False,False,True,0,0,1,0.9543817527010804
False,False,True,0,0,2,0.35598798111317786
False,False,True,0,1,0,1.3108108108108107
False,False,True,0,1,1,0.8978786383818451
False,False,True,0,1,2,0.30909626140712393
False,False,True,0,2,0,1.3048780487804879
False,False,True,0,2,1,0.8394222599830077
False,False,True,0,2,2,0.230726566833056
False,False,True,1,0,0,1.377659574468085
False,False,True,1,0,1,0.9831932773109243
False,False,True,1,0,2,0.3829578844270323
False,False,True,1,1,0,1.4641975308641975
False,False,True,1,1,1,0.9019607843137255
False,False,True,1,1,2,0.34885290148448045
False,False,True,1,2,0,1.2167832167832169
False,False,True,1,2,1,0.8066465256797583
False,False,True,1,2,2,0.2691366655015729
False,False,True,2,0,0,1.3452380952380953
False,False,True,2,0,1,0.9902642559109874
False,False,True,2,0,2,0.42064112587959346
False,False,True,2,1,0,1.5020242914979758
False,False,True,2,1,1,0.9074446680080482
False,False,True,2,1,2,0.3614390106801574
False,False,True,2,2,0,1.4904761904761905
False,False,True,2,2,1,0.8600525624178712
False,False,True,2,2,2,0.2618873445501097
False,False,True,3,0,0,1.463768115942029
False,False,True,3,0,1,1.018181818181818
False,False,True,3,0,2,0.5186567164179104
False,False,True,3,1,0,1.4859154929577465
False,False,True,3,1,1,0.9628099173553719
False,False,True,3,1,2,0.4167725540025413
False,False,True,3,2,0,1.4303030303030304
False,False,True,3,2,1,0.8892889288928892
False,False,True,3,2,2,0.31976744186046513
False,True,False,0,0,0,1.1105726872246695
False,True,False,0,0,1,0.6830985915492958
False,True,False,0,0,2,0.33135603274409775
False,True,False,0,1,0,1.069578923665841
False,True,False,0,1,1,0.6284727436552034
False,True,False,0,1,2,0.2944770857814336
False,True,False,0,2,0,0.9629941126997477
False,True,False,0,2,1,0.5515719801434087
False,True,False,0,2,2,0.21329579904720658
False,True,False,1,0,0,1.1663561352142666
False,True,False,1,0,1,0.7280580511402902
False,True,False,1,0,2,0.34628044766293614
False,True,False,1,1,0,1.1314869588599086
False,True,False,1,1,1,0.6674091843728581
False,True,False,1,1,2,0.3075288806267428
False,True,False,1,2,0,0.9967837041007773
False,True,False,1,2,1,0.5838938053097346
False,True,False,1,2,2,0.23455824863174354
False,True,False,2,0,0,1.2316910785619175
False,True,False,2,0,1,0.7804128238910848
False,True,False,2,0,2,0.39224952741020797
False,True,False,2,1,0,1.2023310023310023
False,True,False,2,1,1,0.6924910607866508
False,True,False,2,1,2,0.3351981351981352
False,True,False,2,2,0,1.0662901307966706
False,True,False,2,2,1,0.6031311154598826
False,True,False,2,2,2,0.2541097798829758
False,True,False,3,0,0,1.3277591973244147
False,True,False,3,0,1,0.8887677208287895
False,True,False,3,0,2,0.4292929292929293
False,True,False,3,1,0,1.3208661417322836
False,True,False,3,1,1,0.8117647058823529
False,True,False,3,1,2,0.41055718475073316
False,True,False,3,2,0,1.137538326763031
False,True,False,3,2,1,0.7158012283640425
False,True,False,3,2,2,0.3090797294527567
False,True,True,0,0,0,1.9834963325183375
False,True,True,0,0,1,1.4040271966527196
False,True,True,0,0,2,0.6035020388582394
False,True,True,0,1,0,1.8721518987341772
False,True,True,0,1,1,1.3401435670900055
False,True,True,0,1,2,0.5142443264123612
False,True,True,0,2,0,1.7173913043478262
False,True,True,0,2,1,1.258220502901354
False,True,True,0,2,2,0.3859060402684564
False,True,True,1,0,0,2.0622406639004147
False,True,True,1,0,1,1.4448217317487266
False,True,True,1,0,2,0.6364075325929502
False,True,True,1,1,0,1.963820549927641
False,True,True,1,1,1,1.3361842105263158
False,True,True,1,1,2,0.5565345080763583
False,True,True,1,2,0,1.7851002865329513
False,True,True,1,2,1,1.190535491905355
False,True,True,1,2,2,0.4114899579635684
False,True,True,2,0,0,1.9893617021276595
False,True,True,2,0,1,1.4869565217391305
False,True,True,2,0,2,0.6472491909385113
False,True,True,2,1,0,1.815426997245179
False,True,True,2,1,1,1.3593570608495982
False,True,True,2,1,2,0.5444264943457189
False,True,True,2,2,0,1.8319039451114922
False,True,True,2,2,1,1.2189349112426036
False,True,True,2,2,2,0.42922166590805644
False,True,True,3,0,0,2.2109375
False,True,True,3,0,1,1.437923250564334
False,True,True,3,0,2,0.7363834422657952
False,True,True,3,1,0,1.9770114942528736
False,True,True,3,1,1,1.4335664335664335
False,True,True,3,1,2,0.6038732394366197
False,True,True,3,2,0,1.9162162162162162
False,True,True,3,2,1,1.3498349834983498
False,True,True,3,2,2,0.4854689564068692
True,False,False,0,0,0,0.8957220086872285
True,False,False,0,0,1,0.5296549974632166
True,False,False,0,0,2,0.2322061191626409
True,False,False,0,1,0,0.8280633688975105
True,False,False,0,1,1,0.483561998446803
True,False,False,0,1,2,0.19122825186412593
True,False,False,0,2,0,0.7350809374244986
True,False,False,0,2,1,0.41649443952366894
True,False,False,0,2,2,0.149865390367933
True,False,False,1,0,0,0.9606731925124506
True,False,False,1,0,1,0.5743238521210428
True,False,False,1,0,2,0.25971815644359725
True,False,False,1,1,0,0.8790013374944271
True,False,False,1,1,1,0.5100918758590754
True,False,False,1,1,2,0.2108050847457627
True,False,False,1,2,0,0.7837610039333208
True,False,False,1,2,1,0.4429688092889125
True,False,False,1,2,2,0.16924483730854226
True,False,False,2,0,0,1.0420772303595207
True,False,False,2,0,1,0.6648822269807281
True,False,False,2,0,2,0.30580075662042877
True,False,False,2,1,0,0.9684938991076306
True,False,False,2,1,1,0.568025719713576
True,False,False,2,1,2,0.2507395407803916
True,False,False,2,2,0,0.8627355028137998
True,False,False,2,2,1,0.49656997255978047
True,False,False,2,2,2,0.1988298484557836
True,False,False,3,0,0,1.1930434782608696
True,False,False,3,0,1,0.8309178743961353
True,False,False,3,0,2,0.40384615384615385
True,False,False,3,1,0,1.0794997766860206
True,False,False,3,1,1,0.7276961662486564
True,False,False,3,1,2,0.3092313092313092
True,False,False,3,2,0,1.0383042823326878
True,False,False,3,2,1,0.6092281879194631
True,False,False,3,2,2,0.2622739018087855
True,False,True,0,0,0,1.8445408532176428
True,False,True,0,0,1,1.2027093194059082
True,False,True,0,0,2,0.5061484918793503
True,False,True,0,1,0,1.7419354838709677
True,False,True,0,1,1,1.0875
True,False,True,0,1,2,0.43623331685615424
True,False,True,0,2,0,1.5780346820809248
True,False,True,0,2,1,1.0006631299734747
True,False,True,0,2,2,0.34683281412253375
True,False,True,1,0,0,1.9016227180527383
True,False,True,1,0,1,1.2895948434622468
True,False,True,1,0,2,0.5293932725558
True,False,True,1,1,0,1.7699018538713196
True,False,True,1,1,1,1.1386041971693508
True,False,True,1,1,2,0.46158896913985553
True,False,True,1,2,0,1.6975381008206332
True,False,True,1,2,1,1.002669514148425
True,False,True,1,2,2,0.3602734217933253
True,False,True,2,0,0,1.9969040247678018
True,False,True,2,0,1,1.4010840108401084
True,False,True,2,0,2,0.5558823529411765
True,False,True,2,1,0,1.8677494199535962
True,False,True,2,1,1,1.2358771060455898
True,False,True,2,1,2,0.46393762183235865
True,False,True,2,2,0,1.723943661971831
True,False,True,2,2,1,1.0582329317269077
True,False,True,2,2,2,0.3892652423137051
True,False,True,3,0,0,2.1145833333333335
True,False,True,3,0,1,1.6612903225806452
True,False,True,3,0,2,0.75
True,False,True,3,1,0,2.0842696629213484
True,False,True,3,1,1,1.5397727272727273
True,False,True,3,1,2,0.6122137404580152
True,False,True,3,2,0,1.8668280871670702
True,False,True,3,2,1,1.1538461538461537
True,False,True,3,2,2,0.5100671140939598
True,True,False,0,0,0,1.5052553480895263
True,True,False,0,0,1,0.9445724157788655
True,True,False,0,0,2,0.46116446578631454
True,True,False,0,1,0,1.3982740585774058
True,True,False,0,1,1,0.8566187261520399
True,True,False,0,1,2,0.36918569161274567
True,True,False,0,2,0,1.2458677685950412
True,True,False,0,2,1,0.737691466083151
True,True,False,0,2,2,0.2783457249070632
True,True,False,1,0,0,1.6026026026026026
True,True,False,1,0,1,1.0301497763081113
True,True,False,1,0,2,0.5239516255693419
True,True,False,1,1,0,1.452191922678633
True,True,False,1,1,1,0.9020824989987986
True,True,False,1,1,2,0.4177533385703064
True,True,False,1,2,0,1.3223079750091877
True,True,False,1,2,1,0.8375229920294298
True,True,False,1,2,2,0.316
True,True,False,2,0,0,1.7582748244734203
True,True,False,2,0,1,1.1855022831050228
True,True,False,2,0,2,0.6093388811835414
True,True,False,2,1,0,1.5365682137834036
True,True,False,2,1,1,0.9635416666666666
True,True,False,2,1,2,0.4704653937947494
True,True,False,2,2,0,1.3407542026351658
True,True,False,2,2,1,0.8737566947207345
True,True,False,2,2,2,0.3600161714170204
True,True,False,3,0,0,2.012779552715655
True,True,False,3,0,1,1.416822429906542
True,True,False,3,0,2,0.7945619335347432
True,True,False,3,1,0,1.8498293515358362
True,True,False,3,1,1,1.2065439672801637
True,True,False,3,1,2,0.6104078762306611
True,True,False,3,2,0,1.6925
True,True,False,3,2,1,1.0410531012940651
True,True,False,3,2,2,0.4944391483952971
True,True,True,0,0,0,2.3221814848762605
True,True,True,0,0,1,1.592332268370607
True,True,True,0,0,2,0.7815745393634841
True,True,True,0,1,0,2.1400560224089635
True,True,True,0,1,1,1.484375
True,True,True,0,1,2,0.6335721596724667
True,True,True,0,2,0,1.8969072164948453
True,True,True,0,2,1,1.275
True,True,True,0,2,2,0.5192069392812887
True,True,True,1,0,0,2.4748743718592965
True,True,True,1,0,1,1.6772187676653476
True,True,True,1,0,2,0.9158716392020815
True,True,True,1,1,0,2.325436408977556
True,True,True,1,1,1,1.5259172976121143
True,True,True,1,1,2,0.7512130569033966
True,True,True,1,2,0,2.1069444444444443
True,True,True,1,2,1,1.3578088578088578
True,True,True,1,2,2,0.5767292716445259
True,True,True,2,0,0,2.5
True,True,True,2,0,1,1.7688172043010753
